Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
SS20 DAMANSARA UTAMA,Petaling Jaya,Selangor,Freehold,Terrace House,1190000,687,12
Seri Puteri Hills,Puchong,Selangor,Freehold,Condominium,1109000,686,18
SETIA PULAU MUTIARA,Bayan Lepas,Penang,Freehold,Terrace House,1331000,686,15
Regalia Residence,KL City,Kuala Lumpur,Freehold,Service Residence,616505,679,15
TAMAN SRI NIBONG,Bayan Lepas,Penang,Freehold,Terrace House,1175000,675,14
28 Boulevard,Ampang,Selangor,Leasehold,Service Residence,335000,675,12
D'Esplanade Residence,Johor Bahru,Johor,Freehold,Service Residence,550000,673,23
TAMAN DESA,Taman Desa,Kuala Lumpur,Freehold,Terrace House,1425000,672,18
SIERRAMAS,Sungai Buloh,Selangor,Freehold,"Semi D, Bungalow",2405000,670,14
Royal Domain Sri Putramas 2,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,850000,669,59
Kiaraville,Mont Kiara,Kuala Lumpur,Freehold,Condominium,1300000,667,13
The Platino Serviced Apartment,Tampoi,Johor,Freehold,Service Residence,601900,666,23
TAMAN SRI SINAR,Segambut,Kuala Lumpur,Freehold,Terrace House,495000,663,34
DESA SETAPAK,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,413500,659,22
SS22 & SS22A DAMANSARA JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,1565000,656,30
Mont Kiara Aman,Mont Kiara,Kuala Lumpur,Freehold,Condominium,1475000,650,12
Mawar Apartment,Genting Highlands,Pahang,Freehold,Apartment,550000,650,11
Angkasa Condominiums,Cheras,Kuala Lumpur,Freehold,Condominium,600000,648,50
Jazz Suites @ Vivacity,Kuching,Sarawak,Leasehold,Condominium,650000,647,13
Twin Galaxy (Dwi Galaksi),Johor Bahru,Johor,Freehold,Service Residence,586000,641,29
TAMAN RIANG (SPU),Butterworth,Penang,Freehold,Terrace House,1044400,638,16
Summer Place,Jelutong,Penang,Leasehold,Condominium,690000,637,14
Skyridge Garden,Tanjong Tokong,Penang,Freehold,Condominium,835000,633,16
ISLAND GLADES,Jelutong,Penang,Freehold,Terrace House,1000000,632,29
TAMAN CERMAI,Muar,Johor,Freehold,Terrace House,895000,630,17
TROPICANA INDAH RESORT HOMES,Kota Damansara,Selangor,Leasehold,"Terrace House, Bungalow",2400000,630,16
Utama @ Utropolis,Batu Kawan,Penang,Freehold,Service Residence,320000,628,11
Kuchai Avenue,Kuchai Lama,Kuala Lumpur,Freehold,Service Residence,580000,626,20
SS2 PETALING JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,1120000,625,58
Desa Green,Taman Desa,Kuala Lumpur,Freehold,Service Residence,480000,624,17
USJ HEIGHTS,Subang Jaya,Selangor,Freehold,Terrace House,2125000,624,14
