Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN BRINGIN,Jinjang,Kuala Lumpur,Leasehold,"Cluster House, Terrace House",300000,472,13
The Clovers,Bayan Lepas,Penang,Freehold,Condominium,620000,472,13
SS4 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Terrace House, Semi D",842500,472,10
TAMAN BESTARI INDAH,Ulu Tiram,Johor,Freehold,Terrace House,832000,471,184
Almyra Residences,Bangi,Selangor,Freehold,Condominium,450400,471,26
SS17,Subang Jaya,Selangor,Freehold,Terrace House,880000,471,15
N-Park Condominium,Gelugor,Penang,Freehold,Condominium,330000,471,15
Sri Cempaka,Puchong,Selangor,Freehold,Apartment,380000,471,11
TAMAN DESA TEBRAU,Tebrau,Johor,Freehold,"Terrace House, Cluster House",930000,470,163
Austin Regency (Pangsapuri Austin Perdana),Tebrau,Johor,Freehold,Apartment,380000,470,15
Subang Avenue,Subang Jaya,Selangor,Freehold,Service Residence,470000,470,12
Palmville Resort Condominium,Bandar Sunway,Selangor,Leasehold,Condominium,692500,469,12
BANDAR BOTANIC,Klang,Selangor,Freehold,Terrace House,767500,468,54
BANDAR BUKIT TINGGI,Klang,Selangor,Freehold,Terrace House,750000,468,37
"KEMUNING UTAMA, SEKSYEN 33",Shah Alam,Selangor,Freehold,"Semi D, Terrace House",909000,465,20
MINDEN HEIGHTS,Gelugor,Penang,Freehold,"Bungalow, Terrace House",2200000,465,19
PUTRAJAYA PRESINT 11,Putrajaya,Putrajaya,Freehold,"Semi D, Terrace House",880000,465,18
The Loft @ Zetapark,Setapak,Kuala Lumpur,Leasehold,Service Residence,500000,465,15
S2 HEIGHTS,Seremban 2,Negeri Sembilan,Freehold,Terrace House,775800,464,83
TAMAN SERI AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Cluster House",719000,464,70
TAMAN NUSA BAYU,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,600000,464,57
SEKSYEN 17,Petaling Jaya,Selangor,Freehold,"Bungalow, Terrace House, Semi D",948000,464,39
Casa Tropicana,Tropicana,Selangor,Leasehold,Condominium,540000,464,17
NADA 3 @ NADA ALAM,Mantin,Negeri Sembilan,Freehold,Terrace House,960000,464,12
TAMAN AMAN PUTRI,Sungai Buloh,Selangor,Freehold,Terrace House,872000,464,11
M SENYUM SALAK TINGGI,Sepang,Selangor,Leasehold,Terrace House,555210,463,39
SS18,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",810000,463,18
BK 2 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,674000,463,18
SUBANG 2,Sungai Buloh,Selangor,Leasehold,Terrace House,575000,463,11
SETIA ECO CASCADIA,Tebrau,Johor,Freehold,Terrace House,814300,462,20
Austin Suites (Permata Austin),Tebrau,Johor,Freehold,Apartment,330000,462,16
DAHLIA GARDEN,Simpang Ampat,Penang,Freehold,Terrace House,627000,462,10
Pelangi Utama,Bandar Utama,Selangor,Leasehold,Condominium,480000,460,25
TAMAN PLATINUM (RESIDENSI GATE),Dengkil,Selangor,Freehold,Terrace House,737800,460,15
Sky Oasis Residence (Pangsapuri Oasis 1),Johor Bahru,Johor,Freehold,Service Residence,400000,459,18
Koi Tropika,Puchong,Selangor,Leasehold,Service Residence,470000,459,11
Menara Avenue (Menara Promenade),KLCC,Kuala Lumpur,Freehold,Condominium,430000,459,11
ALAM DAMAI,Cheras,Kuala Lumpur,Leasehold,Terrace House,859000,458,34
Bandar Damai Perdana (Low Cost),Cheras,Selangor,Freehold,Condominium,457500,458,22
Sri Anggerik 2,Puchong,Selangor,Freehold,Apartment,380000,458,14
GREEN PAVILION RESIDENCE,Kulai,Johor,Freehold,Terrace House,685000,457,28
EVERGREEN GARDEN RESIDENCE,Cyberjaya,Selangor,Freehold,"Terrace House, Semi D",1450000,457,27
U Garden Resort Condominium,Gelugor,Penang,Freehold,Condominium,260000,457,15
Atlantis Residences (Pangsapuri Atlantis Kota Syahbandar),Melaka City,Melaka,Leasehold,Service Residence,330000,457,13
TAMAN SEMARANG TROPIKA,Dengkil,Selangor,Leasehold,Terrace House,640000,457,10
TAMAN BUKIT MALURI,Kepong,Kuala Lumpur,Leasehold,Terrace House,890000,456,33
BANDAR BARU KUNDANG,Rawang,Selangor,Leasehold,Terrace House,642630,456,23
SENIBONG VILLAS,Masai,Johor,Freehold,Bungalow,2125000,456,14
BANDAR BUKIT TINGGI,Pandamaran,Selangor,Freehold,Terrace House,686000,455,23
TROPICANA HEIGHTS,Kajang,Selangor,Freehold,"Town House, Terrace House",833300,455,17
Sri Putramas III / Royal Regent,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,710000,455,17
TAMAN EHSAN JAYA,Johor Bahru,Johor,Leasehold,Terrace House,778000,455,15
Fairway Suites,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,465000,455,11
Ascenda Residence @ Skyarena,Setapak,Kuala Lumpur,Leasehold,Condominium,493000,455,11
TAMAN PUCHONG UTAMA,Puchong,Selangor,Freehold,Terrace House,600000,454,46
TAMAN PUTRA PRIMA,Puchong,Selangor,Freehold,Terrace House,780000,454,43
OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,Freehold,Terrace House,669000,454,35
Suria Kipark Damansara,Kepong,Selangor,Freehold,Apartment,445000,454,20
Idaman Iris,Sungai Ara,Penang,Freehold,Apartment,400000,453,13
SEKSYEN 13 SHAH ALAM,Shah Alam,Selangor,Leasehold,"Bungalow, Terrace House, Semi D",1750000,452,24
Mutiara Idaman 1,Jelutong,Penang,Leasehold,Flat,282000,452,23
Damansara Foresta,Bandar Sri Damansara,Selangor,Freehold,Condominium,690000,452,15
Vista Kiara,Mont Kiara,Kuala Lumpur,Freehold,Condominium,630000,452,13
Idaman Lavender 3,Sungai Ara,Penang,Freehold,Apartment,340000,452,12
TAMAN KERAMAT PERMAI,Ulu Klang,Selangor,Leasehold,Terrace House,600000,452,10
Nusa Heights (Nusa Puncak),Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,415000,451,28
TAMAN PUCHONG PRIMA,Puchong,Selangor,Freehold,Terrace House,562500,451,16
HORIZON RESIDENCE @ BUKIT INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,850000,451,12
Warisan City View,Cheras,Kuala Lumpur,Leasehold,Condominium,410000,451,11
BANDAR DATO' ONN,Tebrau,Johor,Freehold,"Terrace House, Semi D",750000,450,203
USJ 2,Subang Jaya,Selangor,Freehold,Terrace House,745000,450,36
PUTRA HEIGHTS,Subang Jaya,Selangor,Freehold,Terrace House,855000,448,75
Flora Damansara Apartment,Damansara Perdana,Selangor,Leasehold,Apartment,380000,447,85
Miami Green,Batu Ferringhi,Penang,Freehold,Condominium,530000,447,19
TAMAN SRI BAHAGIA,Cheras,Selangor,Freehold,Terrace House,561000,447,12
KOTA BAYUEMAS,Klang,Selangor,Freehold,"Terrace House, Semi D",804000,446,88
TAMAN SCIENTEX SENAI,Senai,Johor,Freehold,Terrace House,480000,446,45
DENAI ALAM,Shah Alam,Selangor,Freehold,Terrace House,900000,446,36
The Regina,Subang Jaya,Selangor,Leasehold,Condominium,545000,446,12
Mesahill,Nilai,Negeri Sembilan,Freehold,Service Residence,260000,446,12
KEPONG BARU,Kepong,Kuala Lumpur,"Leasehold, Freehold",Terrace House,667500,445,48
SERENE HEIGHTS,Semenyih,Selangor,Freehold,Terrace House,781800,445,43
HAPPY GARDEN,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,"Leasehold, Freehold",Terrace House,912500,445,38
Metropolitan Square,Damansara Perdana,Selangor,Leasehold,Service Residence,460000,445,15
Riana Green Condominium,Tropicana,Selangor,Leasehold,Condominium,495000,445,12
IRAMA SENDAYAN 2D,Labu,Negeri Sembilan,Freehold,Terrace House,628888,444,36
BANDAR AINSDALE,Labu,Negeri Sembilan,Freehold,Terrace House,623888,444,14
Kipark Apartment,Tampoi,Johor,Leasehold,Apartment,380000,443,35
TAMAN BUKIT TERATAI,Ampang,Selangor,Leasehold,"Terrace House, Town House",505000,442,25
Sky Loft Premium Suites,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,550000,442,18
TAMAN AUSTIN HEIGHTS,Tebrau,Johor,Freehold,Cluster House,1200000,442,16
The Golden Triangle Condominium,Sungai Ara,Penang,Freehold,Condominium,538000,442,15
TAMAN INTAN BAIDURI,Batu Caves,Kuala Lumpur,Leasehold,Terrace House,820000,442,11
Casa Desa,Taman Desa,Kuala Lumpur,Freehold,Condominium,540000,442,11
TAMAN MOUNT AUSTIN,Tebrau,Johor,Freehold,"Terrace House, Semi D",700000,441,55
"TAMAN SRI MEWAH, MERU",Kapar,Selangor,Freehold,Terrace House,610000,441,15
TAMAN SRI SEGAMBUT,Segambut,Kuala Lumpur,Leasehold,Terrace House,650000,441,11
BANDAR SUNGAI LONG,Bandar Sungai Long,Selangor,Freehold,Terrace House,690000,440,63
TAMAN SRI ORKID,Skudai,Johor,Leasehold,Terrace House,618000,440,31
Amara,Batu Caves,Selangor,Freehold,Service Residence,430000,440,23
Tun Perak,Melaka City,Melaka,Leasehold,Apartment,478000,440,11
M Condominium @ Larkin,Johor Bahru,Johor,Leasehold,Condominium,485000,439,20
Desa Green,Jelutong,Penang,Freehold,Apartment,307500,439,16
TAMAN PERMATA,Ulu Klang,Selangor,Freehold,Terrace House,450000,439,13
ECO GRANDEUR,Ijok,Selangor,Leasehold,"Bungalow, Terrace House",700000,438,35
Taman Mount Austin,Tebrau,Johor,Freehold,Flat,250000,438,21
BUKIT JELUTONG,Shah Alam,Selangor,Freehold,"Semi D, Terrace House, Bungalow",980000,437,81
The Garden Residences,Skudai,Johor,"Leasehold, Freehold",Service Residence,365000,437,33
DESA RESTU,Sepang,Selangor,Leasehold,Terrace House,575000,437,24
Pantai Panorama Condominiums,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Freehold,Condominium,482500,437,14
D'Inspire Residence (Inspira Bestari),Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,446150,437,12
Sinar Bukit Dumbar,Jelutong,Penang,Freehold,Apartment,305000,436,16
Seri Austin Residence (Pangsapuri Seri Austin),Tebrau,Johor,Freehold,Apartment,388000,436,15
Taman Lone Pine (Medium Low Cost),Ayer Itam,Penang,Freehold,Apartment,250000,436,11
SETIA TROPIKA,Tampoi,Johor,Freehold,"Cluster House, Terrace House",911890,435,110
TAMAN DESA IMPIAN,Kuah,Kedah,Freehold,Terrace House,618800,435,14
BAYU SUTERA - PRECINCT 3A,Jimah,Negeri Sembilan,Freehold,Terrace House,608299,435,13
BANDAR PUTERI KLANG,Klang,Selangor,Freehold,Terrace House,682500,434,74
BK 4 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,702500,434,26
KEPONG GARDEN,Kepong,Kuala Lumpur,Freehold,Terrace House,780000,434,21
TAMAN JASA INTAN FASA II,Bukit Mertajam,Penang,Freehold,Terrace House,788800,434,18
TAMAN AUSTIN PERDANA,Tebrau,Johor,Freehold,"Semi D, Terrace House",670000,434,17
TAMAN BUKIT BELIMBING,Balakong,Selangor,Freehold,Terrace House,390000,434,13
Sri Penara,Cheras,Kuala Lumpur,Leasehold,Apartment,280000,433,39
The Sky Executive Suites,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,460000,433,17
BANDAR SERI COALFIELDS,Ijok,Selangor,Freehold,"Terrace House, Cluster House",913800,432,123
Desa Idaman Residences,Puchong,Selangor,Freehold,Apartment,450000,432,15
ECO MAJESTIC,Beranang,Selangor,Freehold,"Cluster House, Terrace House",854000,431,58
Sky Peak Residences,Tampoi,Johor,Freehold,Service Residence,445000,431,26
TAMAN SETAPAK INDAH,Setapak,Kuala Lumpur,Leasehold,Town House,510000,431,13
Holiday Place (D-Villa Residence),Ampang,Kuala Lumpur,Freehold,Service Residence,400000,431,11
BANDAR PARKLANDS,Klang,Selangor,Freehold,Terrace House,879000,430,30
SD Apartments II,Bandar Sri Damansara,Selangor,Freehold,Apartment,340000,430,12
SETIA ECO GARDEN,Skudai,Johor,Freehold,Terrace House,650000,429,33
Anjung Hijau (Greenfields),Bukit Jalil,Kuala Lumpur,Freehold,Apartment,425000,429,13
BANDAR BARU WANGSA MAJU,Wangsa Maju,Kuala Lumpur,Leasehold,Terrace House,840000,428,12
TAMAN KEMPAS UTAMA,Skudai,Johor,Freehold,"Semi D, Cluster House",1000000,427,35
TAMAN NUSA INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,650000,427,24
TAMAN DATO CHELLAM,Ulu Tiram,Johor,Freehold,Terrace House,630000,427,11
TAMAN PULAI MUTIARA,Skudai,Johor,Freehold,"Terrace House, Cluster House",550000,426,68
LAMAN SETIA,Skudai,Johor,Freehold,Terrace House,650000,426,28
SuriaMas Suites,Johor Bahru,Johor,Leasehold,Service Residence,400000,426,25
Jade View,Gelugor,Penang,Freehold,Apartment,293500,426,20
TAMAN BAYU MUTIARA,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",650000,426,15
SEKSYEN 20,Petaling Jaya,Selangor,Freehold,Terrace House,885000,426,14
TAMAN SKUDAI INDAH,Skudai,Johor,Freehold,"Terrace House, Cluster House",650000,426,11
TAMAN SCIENTEX UTAMA,Kulai,Johor,Freehold,Terrace House,500000,426,10
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,695000,425,259
Seri Semarak (Asia Heights),Ayer Itam,Penang,Freehold,Apartment,265000,425,22
Sri Tanjung,Puchong,Selangor,Freehold,Apartment,430000,425,15
IRAMA SENDAYAN 2B,Labu,Negeri Sembilan,Freehold,Terrace House,603444,424,26
TAMAN BUKIT RAHMAN PUTRA,Sungai Buloh,Selangor,Freehold,"Terrace House, Cluster House",700000,424,23
SS3 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Terrace House, Bungalow",1565000,423,32
Desa Pinang 2,Jelutong,Penang,Leasehold,Flat,257500,423,16
Pandan Residence,Tebrau,Johor,Leasehold,Service Residence,390000,423,12
BANDAR MAHKOTA CHERAS,Cheras,Selangor,Freehold,"Terrace House, Semi D, Town House",640000,422,103
LEISURE FARM,Gelang Patah,Johor,Freehold,"Town House, Semi D",650000,422,28
Danau Idaman,Taman Desa,Kuala Lumpur,Leasehold,Condominium,395000,422,17
1120 Park Avenue,Petaling Jaya,Selangor,Leasehold,Condominium,430000,422,13
Green Avenue Condominium,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,452500,421,12
D'aman Crimson,Ara Damansara,Selangor,Freehold,Condominium,443000,420,35
Pangsapuri Kasuarina,Klang,Selangor,Freehold,Apartment,380000,420,24
Ridzuan Condominium,Bandar Sunway,Selangor,Leasehold,Condominium,500000,420,20
Sunny Ville Condominium,Gelugor,Penang,Freehold,Condominium,390000,420,17
TAMAN MUTIARA MAS,Skudai,Johor,Leasehold,Cluster House,959000,420,16
M'tiara,Johor Bahru,Johor,Leasehold,Apartment,420000,420,15
Bayu Tasik 1,Cheras,Kuala Lumpur,Leasehold,Condominium,380000,420,12
SETIA ECOHILL,Beranang,Selangor,Freehold,"Cluster House, Terrace House",680000,419,37
TAMAN MELATI FASA II,Jenjarom,Selangor,Freehold,Terrace House,680000,419,22
Azuria Condominium,Tanjung Bungah,Penang,Freehold,Condominium,289000,419,12
BANDAR BUKIT PUCHONG,Puchong,Selangor,Freehold,Terrace House,640000,418,37
BANGI AVENUE,Bangi,Selangor,Freehold,Terrace House,607500,418,28
TAMAN JENDERAM SUTERA,Dengkil,Selangor,Freehold,Terrace House,585000,418,14
D'Rich Executive Suites,Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,400000,418,11
ARDEN HILL @SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,Freehold,Terrace House,614500,418,10
KOTA KEMUNING,Shah Alam,Selangor,Freehold,Terrace House,844000,417,74
IRAMA SENDAYAN 2C,Labu,Negeri Sembilan,Freehold,Terrace House,584999,417,67
Desa Villa Condominium,Taman Desa,Kuala Lumpur,Freehold,Condominium,485000,417,11
Bistari Lavender Condominium,City Centre,Kuala Lumpur,Freehold,Condominium,460000,417,11
TAMAN TAN YEW LAI,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Terrace House,575000,417,10
ALAM SARI BANGI,Bangi,Selangor,Freehold,"Terrace House, Cluster House",857000,416,60
Beverly Hills 3,Kota Kinabalu,Sabah,Leasehold,Apartment,250000,415,35
TAMAN BUKIT MEWAH,Tampoi,Johor,Freehold,Terrace House,540000,415,17
Impiana,Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,460000,415,17
TAMAN BUKIT SKUDAI @ D CARLTON HEIGHTS,Skudai,Johor,"Leasehold, Freehold",Cluster House,1050000,415,15
TAMAN BUKIT SUBANG,Shah Alam,Selangor,Freehold,Terrace House,590000,415,13
Garden Plaza,Cyberjaya,Selangor,Freehold,Service Residence,210000,415,11
MERIDIN EAST,Pasir Gudang,Johor,Freehold,Terrace House,580000,414,115
Seksyen 1 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,220000,414,29
Changkat View,Dutamas,Kuala Lumpur,Freehold,Condominium,453000,414,15
D'carlton (Residensi Seri Mega),Masai,Johor,Freehold,Service Residence,410000,414,12
SUBANG BESTARI,Shah Alam,Selangor,Leasehold,"Terrace House, Semi D",690000,414,10
Seri Maya Condominium,Ulu Klang,Selangor,Freehold,Condominium,530000,413,21
Sky Gardens Residences,Tampoi,Johor,Freehold,Service Residence,435000,413,14
GLENMARIE HEIGHTS,Tebrau,Johor,Freehold,Terrace House,906950,413,10
SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,Freehold,Terrace House,637500,412,16
Idaman Sutera,Setapak,Kuala Lumpur,Freehold,Condominium,350000,412,15
BUKIT RIMAU,Klang,Selangor,Freehold,"Terrace House, Semi D, Bungalow",960000,410,19
SAUJANA PERDANA,Ijok,Selangor,Leasehold,Terrace House,500000,410,16
Seri Intan Apartment,Setia Alam,Selangor,Freehold,Apartment,340000,410,14
Taman Bukit Erskine,Tanjong Tokong,Penang,Freehold,Apartment,268000,410,11
TAMAN ANDALAS JAYA,Klang,Selangor,Freehold,Terrace House,655000,410,10
TAMAN GAYA,Ulu Tiram,Johor,Freehold,Cluster House,1034400,409,38
TAMAN ANGGUN,Rawang,Selangor,Freehold,Terrace House,837000,409,19
TAMAN SENTOSA PERDANA,Klang,Selangor,Freehold,Terrace House,539000,409,16
TAMAN NUSA PERINTIS II,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,498500,409,16
Scott Towers @ Larkin JB,Johor Bahru,Johor,Leasehold,Apartment,395000,408,14
P' Residence,Kuching,Sarawak,Leasehold,Condominium,470000,408,11
TAMAN NUSA BESTARI,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,810000,407,34
Seri Kasturi Apartments,Setia Alam,Selangor,Freehold,Apartment,390000,407,16
HILL PARK HOME,Kajang,Selangor,Freehold,"Terrace House, Semi D",600000,407,15
Suasana Lumayan,Cheras,Kuala Lumpur,Leasehold,Condominium,487500,407,14
Sri Anggerik 1,Puchong,Selangor,Freehold,Apartment,320000,407,13
TAMAN MUNSYI IBRAHIM,Tampoi,Johor,Freehold,Terrace House,375000,406,20
Vista Angkasa,Pantai,Kuala Lumpur,Leasehold,Apartment,330000,406,16
Atmosfera Kondominium,Puchong,Selangor,Freehold,Condominium,580000,406,13
SEKSYEN 15 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,550000,406,11
TAMAN KOTA IMPIAN @ IMPIAN HILLS,Kota Tinggi,Johor,Freehold,Terrace House,713000,405,87
TAMAN SERI IMPIAN,Bukit Mertajam,Penang,Freehold,Terrace House,589000,405,12
KAMPUNG TASIK TAMBAHAN,Ampang,Selangor,Leasehold,Terrace House,420000,405,11
TAMAN BUKIT RAHMAN PUTRA,Rawang,Selangor,Freehold,Terrace House,680000,404,15
TAMAN KLANG UTAMA,Kapar,Selangor,Freehold,Terrace House,427500,403,66
SCIENTEX KUNDANG JAYA,Rawang,Selangor,Freehold,Terrace House,504339,403,37
SETIA ECO GARDEN,Gelang Patah,Johor,Freehold,Terrace House,527680,403,35
7 Tree Seven Residence,Cheras,Selangor,Freehold,Condominium,400000,403,11
Sri Saujana,Georgetown,Penang,Leasehold,Apartment,260000,402,30
TAMAN PERTAM JAYA,Melaka City,Melaka,Leasehold,Terrace House,580000,402,15
Seasons Amara Larkin,Johor Bahru,Johor,Leasehold,Service Residence,400000,402,13
Beverly Hills 5,Kota Kinabalu,Sabah,Leasehold,Apartment,185000,402,12
Taman Air Itam,Ayer Itam,Penang,Freehold,Flat,270000,402,11
Puncak Banyan,Cheras,Kuala Lumpur,Freehold,Condominium,328000,401,13
TAMAN PUNCAK JALIL,Seri Kembangan,Selangor,Leasehold,Terrace House,580000,400,78
Menara Menjalara,Bandar Menjalara,Kuala Lumpur,Freehold,Condominium,430000,400,17
University Apartment Phase 1,Kota Kinabalu,Sabah,Leasehold,Apartment,245000,400,14
TAMAN PAUH JAYA,Perai,Penang,Freehold,Terrace House,590000,400,13
Skyvilla Residences,Kuching,Sarawak,Leasehold,Condominium,450000,400,11
Puncak Seri Kelana,Ara Damansara,Selangor,Leasehold,Condominium,420000,400,11
Mutiara Ville,Cyberjaya,Selangor,Freehold,Service Residence,400000,400,11
BANDAR NUSA RHU,Shah Alam,Selangor,Leasehold,"Bungalow, Terrace House",591500,400,10
Seksyen 4 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,210000,398,21
TAMAN DESA ABLELINK,Klang,Selangor,Freehold,Terrace House,445000,398,14
Impian Sentosa,Klang,Selangor,Freehold,Apartment,300000,398,11
NUSA DUTA,Skudai,Johor,Freehold,"Cluster House, Semi D",1350000,397,15
Seri Jati,Setia Alam,Selangor,Freehold,Apartment,325000,397,13
ALAMANDA PARKLAND,Serendah,Selangor,Freehold,Terrace House,475000,397,12
GALENA VILLA @TAMAN BUKIT GALENA,Seremban,Negeri Sembilan,Freehold,Terrace House,568000,397,11
TAMAN MUTIARA RINI,Skudai,Johor,Leasehold,Terrace House,672000,396,183
TAMAN DESA MURNI,Butterworth,Penang,"Freehold, Leasehold","Terrace House, Town House",350000,396,27
D'Ambience Residences (Pangsapuri Ikatan Flora),Permas Jaya,Johor,Freehold,Service Residence,339000,396,22
BANDAR BARU SELAYANG,Selayang,Selangor,Leasehold,Terrace House,650000,396,18
Leader Garden,Tanjung Bungah,Penang,Freehold,Condominium,440000,396,17
Regency Heights Condo,Sungai Ara,Penang,Freehold,Condominium,502500,396,16
TAMAN DESA PUTERA,Klang,Selangor,"Leasehold, Freehold",Terrace House,548000,395,27
TAMAN CASSIA CEMPAKA,Batu Kawan,Penang,Freehold,"Terrace House, Semi D",625320,395,21
SUNWAY ALAM SURIA,Shah Alam,Selangor,Leasehold,Terrace House,700000,395,17
Casa Idaman,Sentul,Kuala Lumpur,Leasehold,Condominium,400000,394,13
Tanjung Court,Ayer Itam,Penang,Leasehold,Apartment,310000,394,13
Subang Perdana Goodyear Court 7,Subang Jaya,Selangor,Freehold,Apartment,376500,393,20
Casa Tropika,Puchong,Selangor,Leasehold,Condominium,495000,393,13
TAMAN REDANG,Masai,Johor,"Leasehold, Freehold",Terrace House,780000,393,11
"TAMAN DESA UTAMA, SUNGAI MERAB",Dengkil,Selangor,Freehold,Terrace House,685000,393,11
BANDAR TIRAM,Ulu Tiram,Johor,Freehold,Terrace House,580000,393,10
BANDAR BARU PERMAS JAYA,Permas Jaya,Johor,Freehold,Terrace House,500000,392,173
CALEDONIA,Ijok,Selangor,Freehold,Terrace House,509800,392,109
Sri Impian Apartment,Ayer Itam,Penang,Leasehold,Apartment,278000,392,11
Sunway Court,Bandar Sunway,Selangor,Leasehold,Apartment,380000,392,11
Casa Ria,Cheras,Kuala Lumpur,Leasehold,Condominium,400000,392,11
MUTIARA HILLS @ SEMENYIH,Semenyih,Selangor,Freehold,Terrace House,547770,391,38
BANDAR BARU KOTA PUTRI,Masai,Johor,Freehold,Terrace House,335000,391,26
TAMAN DESA BUKIT NILAM,Kapar,Selangor,Freehold,Terrace House,549900,391,13
BANDAR TUN HUSSEIN ONN,Cheras,Selangor,Freehold,"Terrace House, Semi D",800000,390,43
SEKSYEN 7 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,740000,390,32
Rampai Court,Wangsa Maju,Kuala Lumpur,Freehold,Apartment,231000,390,28
SS14,Subang Jaya,Selangor,Freehold,"Semi D, Terrace House",869000,390,16
TAMAN JUMBO,Penampang,Sabah,Leasehold,Terrace House,350000,390,12
LAMAN SETIA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,650000,389,73
TAMAN BAGAN,Butterworth,Penang,Freehold,Terrace House,655000,389,16
TAMAN ASA JAYA,Kajang,Selangor,Freehold,Terrace House,485000,389,12
TAMAN BANANG JAYA,Batu Pahat,Johor,Freehold,Terrace House,618500,388,118
COUNTRY VILLAS,Bemban,Melaka,Leasehold,"Semi D, Terrace House",645000,388,24
Larkin Heights,Johor Bahru,Johor,Leasehold,Service Residence,388000,388,13
Palm Court Condominium,Brickfields,Kuala Lumpur,Leasehold,Condominium,367500,388,12
TAMAN SCIENTEX,Pasir Gudang,Johor,Freehold,"Terrace House, Cluster House",380000,387,177
TAMAN ADDA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",1000000,387,47
TAMAN DAMAI JAYA,Skudai,Johor,Freehold,Terrace House,325000,387,42
TAMAN SELASIH INDAH,Kulim,Kedah,Freehold,Terrace House,542200,387,35
Taman Alor Vista,Bayan Lepas,Penang,Freehold,Apartment,200000,387,23
TAMAN MACHANG BUBOK,Bukit Mertajam,Penang,Freehold,Terrace House,480000,387,18
Nusa Perdana Apartment,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,360000,386,48
Villa Wangsamas,Wangsa Maju,Kuala Lumpur,Freehold,Condominium,500000,386,34
Seri Baiduri,Setia Alam,Selangor,Freehold,Apartment,357500,386,16
Midfields,Sungai Besi,Kuala Lumpur,Leasehold,Condominium,450000,386,15
AMBER 2 @ BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,452000,385,52
SETAPAK JAYA,Setapak,Kuala Lumpur,Leasehold,Cluster House,240000,385,23
Taman Desa Relau 2,Relau,Penang,Freehold,Apartment,290000,385,17
Sentul Utama Condominium,Sentul,Kuala Lumpur,Leasehold,Condominium,342500,385,12
LAYANGGKASA,Pasir Gudang,Johor,Freehold,Terrace House,551650,384,149
BISTARI PERDANA,Pasir Gudang,Johor,Freehold,Terrace House,460000,384,32
SEKSYEN 8 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,590000,384,17
SD Tiara Apartment,Bandar Sri Damansara,Selangor,Freehold,Apartment,322500,384,16
KOTA EMERALD,Rawang,Selangor,Freehold,"Terrace House, Semi D",795000,383,52
NILAI IMPIAN,Nilai,Negeri Sembilan,Freehold,Terrace House,639888,383,41
Idaman Seroja,Sungai Ara,Penang,Freehold,Apartment,249000,383,16
TAMAN SETIA INDAH,Tebrau,Johor,Freehold,Terrace House,610000,382,118
TAMAN SRI PULAI PERDANA,Kulai,Johor,Freehold,Terrace House,499000,382,49
TTDI JAYA,Shah Alam,Selangor,Freehold,Terrace House,600000,382,13
TAMAN CAHAYA MASAI,Pasir Gudang,Johor,Leasehold,Terrace House,300000,381,48
Platinum Lake PV 12,Setapak,Kuala Lumpur,Leasehold,Condominium,475000,381,12
Seksyen 2 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,224500,380,54
